1	193	212	197	205	NO
1	193	212	198	205	NO
1	147	168	153	160	NO
1	147	168	146	152	NO
1	147	168	146	152	optimo
1	6	27	16	24	NO
1	6	27	17	23	NO
1	84	105	88	96	NO
1	84	105	94	102	NO
1	84	105	93	101	NO
1	84	105	88	96	NO
1	84	105	94	102	NO
1	84	105	93	101	NO
1	54	75	58	66	NO
1	54	75	61	69	NO
1	54	75	61	69	NO
1	54	75	57	65	NO
1	54	75	62	70	NO
1	54	75	58	66	NO
1	54	75	61	69	NO
1	54	75	61	69	NO
1	54	75	57	65	NO
1	54	75	62	70	NO
1	54	75	58	66	NO
1	54	75	61	69	NO
1	54	75	61	69	NO
1	54	75	57	65	NO
1	54	75	62	70	NO
1	54	75	58	66	NO
1	54	75	61	69	NO
1	54	75	61	69	NO
1	54	75	57	65	NO
1	54	75	62	70	NO
1	80	103	88	96	NO
1	80	103	80	87	NO
1	20	40	19	27	NO
1	20	40	19	27	optimo
1	20	40	25	33	NO
1	20	40	30	36	NO
1	20	40	19	27	NO
1	20	40	19	27	optimo
1	20	40	19	27	NO
1	20	40	19	27	optimo
1	57	77	58	66	NO
1	57	77	61	69	NO
1	57	77	61	69	NO
1	57	77	57	65	NO
1	57	77	62	70	NO
1	170	191	177	185	NO
1	170	191	173	181	NO
1	170	191	169	177	NO
1	170	191	169	177	optimo
1	170	191	178	186	NO
1	170	191	177	184	NO
1	170	191	177	184	NO
1	107	128	111	117	NO
1	107	128	106	114	NO
1	107	128	106	114	optimo
1	107	128	116	124	NO
1	107	128	113	121	NO
1	107	128	116	124	NO
1	131	152	138	146	NO
1	131	152	138	146	NO
1	185	205	188	196	NO
1	185	205	189	197	NO
1	104	124	111	117	NO
1	104	124	106	114	NO
1	104	124	113	121	NO
1	104	124	103	111	NO
1	104	124	103	111	optimo
1	215	239	222	228	NO
1	215	239	217	224	NO
1	215	239	228	236	NO
1	215	239	216	224	NO
1	215	239	225	233	NO
1	215	239	222	230	NO
1	215	239	224	232	NO
1	55	76	58	66	NO
1	55	76	61	69	NO
1	55	76	61	69	NO
1	55	76	57	65	NO
1	55	76	62	70	NO
1	168	189	177	185	NO
1	168	189	173	181	NO
1	168	189	169	177	NO
1	168	189	178	186	NO
1	168	189	177	184	NO
1	168	189	177	184	NO
1	13	33	19	27	NO
1	13	33	16	24	NO
1	13	33	17	25	NO
1	13	33	18	26	NO
1	13	33	18	26	NO
1	13	33	19	27	NO
1	13	33	19	27	NO
1	13	33	17	25	NO
1	13	33	17	23	NO
1	18	39	19	27	NO
1	18	39	25	33	NO
1	18	39	30	36	NO
1	18	39	17	25	NO
1	18	39	17	25	optimo
1	18	39	18	26	NO
1	18	39	18	26	NO
1	18	39	19	27	NO
1	18	39	19	27	NO
1	18	39	17	25	NO
1	18	39	17	25	optimo
1	18	39	17	23	NO
1	18	39	17	23	optimo
1	197	219	204	212	NO
1	197	219	197	205	NO
1	197	219	208	216	NO
1	197	219	203	210	NO
1	197	219	202	210	NO
1	197	219	202	210	NO
1	197	219	208	216	NO
1	197	219	198	205	NO
1	197	219	204	212	NO
1	197	219	197	205	NO
1	197	219	208	216	NO
1	197	219	203	210	NO
1	197	219	202	210	NO
1	197	219	202	210	NO
1	197	219	208	216	NO
1	197	219	198	205	NO
1	44	66	47	55	NO
1	44	66	47	54	NO
1	44	66	50	57	NO
1	44	66	43	51	NO
1	44	66	43	51	optimo
1	44	66	46	54	NO
1	189	210	188	196	NO
1	189	210	188	196	optimo
1	189	210	197	205	NO
1	189	210	189	197	NO
1	189	210	198	205	NO
1	48	69	58	66	NO
1	48	69	47	55	NO
1	48	69	47	55	optimo
1	48	69	47	54	NO
1	48	69	47	54	optimo
1	48	69	57	65	NO
1	48	69	50	57	NO
1	228	249	232	239	NO
1	228	249	228	236	NO
1	228	249	232	240	NO
1	228	249	238	246	NO
1	228	249	232	239	NO
1	228	249	228	236	NO
1	228	249	232	240	NO
1	228	249	238	246	NO
1	48	69	58	66	NO
1	48	69	47	55	NO
1	48	69	47	55	optimo
1	48	69	47	54	NO
1	48	69	47	54	optimo
1	48	69	57	65	NO
1	48	69	50	57	NO
1	48	69	58	66	NO
1	48	69	47	55	NO
1	48	69	47	55	optimo
1	48	69	47	54	NO
1	48	69	47	54	optimo
1	48	69	57	65	NO
1	48	69	50	57	NO
1	35	55	34	42	NO
1	35	55	34	42	optimo
1	35	55	35	43	NO
1	35	55	43	51	NO
